Compound.ID,Minimum.Degree,Molecular.Weight,Number.of.H.Bond.Donors,Number.of.Rings,Number.of.Rotatable.Bonds,Polar.Surface.Area,measured.log.solubility.in.mols.per.litre,solubility.above.or.below.median
"1,3-Dibromobenzene",1,235.90599999999998,0,1,0,0,-3.54,0
1-Octadecanol,1,270.50099999999986,1,0,16,20.23,-8.4,0
Acetanilide,1,135.16599999999997,1,1,1,29.1,-1.33,1
hematein,1,300.266,4,4,0,107.22000000000001,-2.7,1
Isonazid,1,137.14200000000002,2,1,1,68.01,0.009000000000000001,1
hydroxychlordene,1,354.8749999999999,1,3,0,20.23,-5.46,0
Isopentyl formate,1,116.15999999999998,0,0,4,26.3,-1.52,1
Acetophenone,1,120.15099999999995,0,1,1,17.07,-1.28,1
biquinoline,2,256.308,0,4,1,25.78,-5.4,0
Triethyl phosphate,1,182.15599999999998,0,0,6,44.760000000000005,0.43,1
D-fenchone,1,152.237,0,2,0,17.07,-1.85,1
7-methoxypteridine,1,162.152,0,2,1,60.790000000000006,-0.91,1
Chlordene,1,338.876,0,3,0,0,-5.64,0
2-Nitropropane,1,89.094,0,0,1,43.14,-0.62,1
Carbazole,2,167.21099999999998,1,3,0,15.79,-5.27,0
Erythritol,1,122.11999999999999,4,0,3,80.92,0.7,1
Risocaine,1,179.21899999999997,1,1,3,52.32,-2.452,1
Azodrin,1,223.16499999999996,1,0,5,73.86,0.6509999999999999,1
Succinimide,1,99.089,1,1,0,46.17,0.3,1
"2,3-Dimethylpentane",1,100.20499999999998,0,0,2,0,-4.28,0
bupirimate,1,316.4270000000001,1,1,8,84.42,-4.16,0
RTI 16,1,270.361,0,3,1,32.260000000000005,-4.6339999999999995,0
RTI 9,1,239.274,0,3,1,29.54,-3.68,0
Tetrahydropyran ,2,86.134,0,1,0,9.23,-0.03,1
1-Heptyne,1,96.17299999999999,0,0,3,0,-3.01,0
osthole,1,244.28999999999994,0,2,3,39.44,-4.314,0
3-Methylcholanthrene,1,268.3589999999999,0,5,0,0,-7.92,0
Ethyl benzoate ,1,150.177,0,1,2,26.3,-2.32,1
1-Chloro-2-methylpropane,1,92.569,0,0,1,0,-2,1
Ethinyl estradiol,1,296.41,2,4,0,40.46,-4.3,0
methyl laurate,1,214.34899999999996,0,0,10,26.3,-4.69,0
Di-n-propylsulfide,1,118.24499999999999,0,0,4,0,-2.58,1
Napthacene,2,228.29399999999998,0,4,0,0,-8.6,0
1-Bromopentane,1,151.047,0,0,3,0,-3.08,0
trans-2-Heptene ,1,98.18899999999998,0,0,3,0,-3.82,0
Metranidazole,1,171.15599999999998,1,1,3,81.19,-1.26,1
Pentylcyclopentane,1,140.26999999999998,0,1,4,0,-6.08,0
"2,2',3,5,5',6-PCB",1,360.88200000000006,0,2,1,0,-7.42,0
5-Ethyl-5-isopropylbarbituric acid,1,198.22199999999998,2,1,2,75.27000000000001,-2.148,1
"1,1,1-Trichloroethane",1,133.405,0,0,0,0,-2,1
Monolinuron,1,214.652,1,1,2,41.57,-2.57,1
Cyclohexyl-5-spirobarbituric acid,1,196.206,2,2,0,75.27,-3.06,0
dimetan,1,211.26099999999994,0,1,1,46.61,-0.85,1
4-Bromotoluene,1,171.03700000000003,0,1,0,0,-3.19,0
Diethyl ether ,1,74.123,0,0,2,9.23,-0.09,1
Rovral,1,330.17100000000005,1,2,2,69.72,-4.376,0
Benfluralin,1,335.28200000000004,0,1,7,89.51999999999998,-5.53,0
"2,4,6-Trimethylphenol",1,136.194,1,1,0,20.23,-2.05,1
Benzene ,2,78.11399999999999,0,1,0,0,-1.64,1
p-Chloroiodobenzene,1,238.45499999999998,0,1,0,0,-4.03,0
Metoxuron,1,228.67899999999997,1,1,2,41.57,-2.5639999999999996,1
propachlor,1,211.69200000000004,0,1,3,20.310000000000002,-2.48,1
Styrene,1,104.15199999999997,0,1,1,0,-2.82,1
Dimethoxymethane,1,76.095,0,0,2,18.46,0.48,1
o-Xylene ,1,106.16799999999999,0,1,0,0,-2.8,1
Butan-2-ol,1,74.12299999999999,1,0,1,20.23,0.47,1
"1,4-Benzenediol",1,110.11199999999998,2,1,0,40.46,-0.17,1
estriol,1,288.387,3,4,0,60.69,-4.955,0
Benzo(b)fluorene,2,216.283,0,4,0,0,-8.04,0
hydantoin,1,100.077,2,1,0,58.2,-0.4,1
4-hexylresorcinol,1,194.27399999999992,2,1,5,40.46,-2.59,1
allicin,1,162.27899999999997,0,0,5,17.07,-0.83,1
Coumaphos,1,362.77100000000013,0,2,6,57.9,-5.382000000000001,0
"5,6-Dimethylchrysene",1,256.348,0,4,0,0,-7.01,0
Betamethasone-17-valerate,1,476.5850000000002,2,4,6,100.90000000000002,-4.71,0
uric acid,1,168.112,4,2,0,114.36999999999998,-3.93,0
"2,3,4,6-Tetrachlorophenol",1,231.89299999999997,1,1,0,20.23,-3.1,0
"1,3-Dichlorobenzene",1,147.004,0,1,0,0,-3.04,0
DDT,1,354.491,0,2,2,0,-7.15,0
Isobutyl formate,1,102.13299999999998,0,0,3,26.3,-1.01,1
thioanisole,1,124.208,0,1,1,0,-2.39,1
RTI 13,1,322.29,1,3,1,58.120000000000005,-4.207,0
Hexane ,1,86.178,0,0,3,0,-3.84,0
methyl nicotinate,1,137.138,0,1,1,39.19,-0.46,1
Bendroflumethiazide,1,421.4220000000001,3,3,3,118.35999999999999,-3.59,0
"2,3,3',4,4',5-PCB",1,360.88200000000006,0,2,1,0,-7.82,0
Vinclozolin,1,286.11400000000003,0,2,2,46.61,-4.925,0
Cyanazine,1,240.698,2,1,4,86.52,-3.15,0
Triphenylene,2,228.29399999999998,0,4,0,0,-6.726,0
Dienestrol,1,266.34,2,2,3,40.46,-4.95,0
Di(2-ethylhexyl)-phthalate,1,390.5640000000003,0,1,14,52.60000000000001,-6.96,0
2-Ethyl pyridine,1,107.15599999999998,0,1,1,12.89,0.51,1
Naled,1,380.784,0,0,5,44.760000000000005,-2.28,1
Biphenyl,2,154.21199999999996,0,2,1,0,-4.345,0
"2,2',4,4',6,6'-PCB",1,360.88200000000006,0,2,1,0,-8.71,0
Altretamine,1,210.285,0,1,3,48.39000000000001,-3.364,0
"2,4-Dimethyl-2-pentanol ",1,116.20399999999998,1,0,2,20.23,-0.92,1
Cycloheptyl-5-spirobarbituric acid,1,210.23299999999998,2,2,0,75.27,-3.168,0
Fructose,1,180.156,5,1,2,110.38000000000001,0.64,1
"3,5-Dimethylphenol",1,122.16699999999997,1,1,0,20.23,-1.4,1
Barban,1,258.104,1,1,2,38.33,-4.37,0
p-Chloroacetanilide,1,169.611,1,1,1,29.1,-2.843,1
"2,2',3,4,5,5',6-PCB",1,395.3270000000001,0,2,1,0,-8.94,0
"2,2-Dimethylbutane",1,86.17799999999998,0,0,0,0,-3.55,0
N-Methylaniline ,1,107.15599999999998,1,1,1,12.03,-1.28,1
"1,4-Pentadiene ",1,68.119,0,0,2,0,-2.09,1
Hydrocortisone 21-acetate,1,404.5030000000002,2,4,3,100.90000000000002,-4.88,0
DNOC,1,198.134,1,1,2,106.51000000000002,-1.456,1
Lorazepam,1,321.163,2,3,1,61.690000000000005,-3.6039999999999996,0
3-Chlorophenol,1,128.558,1,1,0,20.23,-0.7,1
m-Chlorobromobenzene,1,191.45499999999998,0,1,0,0,-3.21,0
chlorothiazide,1,295.72900000000004,2,2,1,118.69,-3.05,0
5-Methyl-5-ethylbarbituric acid,1,170.16799999999998,2,1,1,75.27000000000001,-1.228,1
2-Phenoxyethanol,1,138.16599999999997,1,1,3,29.46,-0.7,1
Diphenylmethane,2,168.239,0,2,2,0,-4.08,0
3-Octanol,1,130.23099999999997,1,0,5,20.23,-1.98,1
Flumetralin,1,421.7340000000001,0,2,6,89.51999999999998,-6.78,0
Propazine,1,229.71500000000003,2,1,4,62.730000000000004,-4.43,0
2-Methylpentanol,1,102.17699999999999,1,0,3,20.23,-1.11,1
2-Methyl-2-hexanol,1,116.20399999999998,1,0,3,20.23,-1.08,1
Ethylbenzene,1,106.16799999999996,0,1,1,0,-2.77,1
5-(3-Methyl-2-butenyl)-5-ethylbarbital,1,224.25999999999996,2,1,3,75.27000000000001,-2.253,1
Heptachlor,1,373.3209999999999,0,3,0,0,-6.317,0
butallylonal,1,303.156,2,1,4,75.27000000000001,-2.647,1
Fenpropathrin,1,349.43000000000006,0,3,5,59.32000000000001,-6.025,0
Methoprene,1,310.47800000000007,0,0,10,35.53,-5.19,0
Ethyl propionate,1,102.133,0,0,2,26.3,-0.66,1
Prometryn,1,241.364,2,1,5,62.730000000000004,-4.1,0
Buturon,1,236.702,1,1,2,32.34,-3.9,0
"2,3-Dimethylnaphthalene",1,156.22799999999998,0,2,0,0,-4.72,0
"2,4',5-PCB",1,257.547,0,2,1,0,-6.25,0
"2,3',4,4',5-PCB",1,360.88200000000006,0,2,1,0,-7.39,0
2-cyanoguanidine,1,84.082,2,0,0,88.19,-0.31,1
Chloropicrin,1,164.375,0,0,0,43.14,-2,1
"2,6-PCB",1,223.102,0,2,1,0,-5.21,0
p-Methoxybenzaldehyde,1,136.14999999999998,0,1,2,26.3,-1.49,1
4-Nitroacetanilide,1,180.16299999999998,1,1,2,72.24000000000001,-2.6919999999999997,1
Ethyl heptanoate,1,158.24099999999999,0,0,6,26.3,-2.74,1
p-Hydroxyacetanilide,1,151.165,2,1,1,49.33,-1.03,1
indazole,2,118.13899999999998,1,2,0,28.68,-2.16,1
triamcinolone acetonide,1,434.50400000000025,2,5,2,93.06000000000002,-4.31,0
guanine,1,151.129,3,2,0,100.44999999999999,-3.583,0
Methyl acetate,1,74.07900000000001,0,0,0,26.3,0.46,1
Stanolone,1,290.44699999999995,1,4,0,37.3,-4.743,0
1-Hexene-3-ol,1,100.16099999999999,1,0,3,20.23,-0.59,1
norbormide,1,511.5810000000002,2,7,5,92.18,-3.931,0
Dibutyl ether ,1,130.231,0,0,6,9.23,-1.85,1
1-Dodecanol,1,186.33899999999997,1,0,10,20.23,-4.8,0
RTI 6,1,313.36100000000005,2,3,4,81.59000000000002,-3.36,0
2-Methyl-2-pentanol,1,102.17699999999998,1,0,2,20.23,-0.49,1
Flucytosine,1,129.09399999999997,2,1,0,71.77,-0.972,1
stadacaine,1,293.40700000000004,0,1,9,38.77,-3.84,0
2-Methyl-2-heptanol,1,130.231,1,0,4,20.23,-1.72,1
Hexamethylbenzene,1,162.27599999999998,0,1,0,0,-5.23,0
Thymol,1,150.22099999999998,1,1,1,20.23,-2.22,1
Pteridine,2,132.12599999999998,0,2,0,51.56,0.02,1
Parathion,1,291.26500000000004,0,1,7,70.83000000000001,-4.66,0
Methane,0,16.043,0,0,0,0,-0.9,1
indoline,2,119.16699999999999,1,2,0,12.03,-1.04,1
1-Nitronapthalene,1,173.171,0,2,1,43.14,-3.54,0
3-Methyl-2-pentanone,1,100.16099999999999,0,0,2,17.07,-0.67,1
isoguanine,1,151.129,3,2,0,100.71000000000001,-3.4010000000000002,0
bromadiolone,1,527.4140000000002,2,5,6,70.67,-4.445,0
Nitromethane,1,61.040000000000006,0,0,0,43.14,0.26,1
Triallate,1,304.66999999999996,0,0,4,20.310000000000002,-4.88,0
"1,5-Hexadiene ",1,82.14599999999999,0,0,3,0,-2.68,1
Indole,2,117.15099999999997,1,2,0,15.79,-1.52,1
Androstenedione,1,286.415,0,4,0,34.14,-3.69,0
1-Hexene,1,84.16199999999999,0,0,3,0,-3.23,0
Xipamide,1,354.8150000000001,3,2,3,109.48999999999998,-3.79,0
Ethylcyclohexane,1,112.21600000000001,0,1,1,0,-4.25,0
2-Nonanone,1,142.242,0,0,6,17.07,-2.58,1
Mebendazole,1,295.298,2,3,3,84.07999999999998,-3.88,0
Chloropham,1,213.66400000000002,1,1,2,38.33,-3.38,0
RTI 12,1,288.73800000000006,0,3,1,49.330000000000005,-4.114,0
Carbaryl,1,201.225,1,2,1,38.33,-3.2239999999999998,0
Ethyne,1,26.037999999999997,0,0,0,0,0.29,1
"3,5-Dimethylpyridine",1,107.15599999999998,0,1,0,12.89,0.38,1
"1,4-Cyclohexadiene",2,80.12999999999998,0,1,0,0,-2.06,1
Mecarbam,1,329.3800000000001,0,0,8,65.07000000000001,-2.5180000000000002,1
1-Phenylethanol,1,122.16699999999996,1,1,1,20.23,-0.92,1
"1,2-Dichloropropane",1,112.98700000000001,0,0,1,0,-1.6,1
2-Ethyl-2-hexanal,1,126.19899999999998,0,0,4,17.07,-2.46,1
Disulfoton,1,274.413,0,0,9,18.46,-4.23,0
methyltestosterone acetate,1,344.4950000000001,0,4,1,43.370000000000005,-5.284,0
"2,4,6-PCB",1,257.547,0,2,1,0,-6.14,0
difluron,1,310.687,2,2,2,58.2,-6.02,0
Triclosan,1,289.54499999999996,1,2,2,29.46,-4.46,0
diisooctyl phthalate,1,390.5640000000002,0,1,14,52.60000000000001,-6.6370000000000005,0
Corticosterone,1,346.46700000000016,2,4,2,74.6,-3.24,0
"1,3,5-Trimethylbenzene ",1,120.19499999999998,0,1,0,0,-3.4,0
dioctyl phthalate,1,390.56400000000036,0,1,16,52.60000000000001,-5.115,0
1-Pentadecanol,1,228.41999999999993,1,0,13,20.23,-6.35,0
"2,2',6,6'-PCB",1,291.99199999999996,0,2,1,0,-7.39,0
"5,5-Dimethylbarbituric acid",1,156.141,2,1,0,75.27000000000001,-1.742,1
2-Iodopropane,1,169.993,0,0,0,0,-2.09,1
"1,2-Dinitrobenzene",1,168.10799999999995,0,1,2,86.28,-3.1,0
3-Methyl-2-butanone,1,86.13399999999999,0,0,1,17.07,-0.12,1
Hexadecane,1,226.44799999999992,0,0,13,0,-8.4,0
"1,8-Cineole",1,154.253,0,3,0,9.23,-1.74,1
Tricyclazole,1,189.24300000000002,0,3,0,30.19,-2.07,1
2-Octanone,1,128.21499999999997,0,0,5,17.07,-2.05,1
Methyl nonanoate,1,172.268,0,0,7,26.3,-3.38,0
"1,4-Difluorobenzene",1,114.094,0,1,0,0,-1.97,1
Thalidomide,1,258.233,1,3,1,83.55000000000001,-2.676,1
Trifluralin,1,335.28200000000004,0,1,7,89.51999999999998,-5.68,0
Ethanol,1,46.069,1,0,0,20.23,1.1,1
Cyclopentyl-5-spirobarbituric acid,1,182.179,2,2,0,75.27,-2.349,1
Carbetamide,1,236.271,2,1,4,67.42999999999999,-1.83,1
phenothrin,1,350.4580000000001,0,3,6,35.53,-5.24,0
Cycluron,1,198.30999999999992,1,1,1,32.34,-2.218,1
Mirex,1,545.5460000000002,0,6,0,0,-6.8,0
1-Bromooctane,1,193.128,0,0,6,0,-5.06,0
Benomyl,1,290.323,2,2,4,85.25,-4.883,0
aminopyrine,1,231.299,0,2,2,30.17,-0.364,1
3-Pentanol,1,88.15,1,0,2,20.23,-0.24,1
p-Nitrotoluene,1,137.138,0,1,1,43.14,-2.49,1
4-Methylpentanol,1,102.17699999999999,1,0,3,20.23,-1.14,1
Norethisterone,1,314.42500000000007,2,4,0,57.53,-4.57,0
bromopropylate,1,428.12000000000006,1,2,4,46.53,-4.93,0
Pyrazon,1,221.647,1,2,1,60.91,-2.878,0
2-Methylbutan-2-ol,1,88.14999999999998,1,0,1,20.23,0.15,1
p-Cresol,1,108.13999999999999,1,1,0,20.23,-0.73,1
Ethyl formate,1,74.07900000000001,0,0,2,26.3,0.15,1
"N,N-Dimethylaniline",1,121.18299999999995,0,1,1,3.24,-1.92,1
Decalin,2,138.254,0,2,0,0,-5.19,0
Butanethiol ,1,90.19099999999999,1,0,2,0,-2.18,1
Benzo(e)pyrene,2,252.31599999999997,0,5,0,0,-7.8,0
Tetrachloroethylene,1,165.834,0,0,0,0,-2.54,1
3-Pentanone,1,86.134,0,0,2,17.07,-0.28,1
Acrylonitrile,1,53.06399999999999,0,0,0,23.79,0.15,1
Flumethasone,1,410.4570000000002,3,4,2,94.83,-5.6129999999999995,0
2-Hexanone,1,100.16099999999999,0,0,3,17.07,-0.8,1
Terbumeton,1,225.296,2,1,4,71.96000000000001,-3.239,0
3-Methylheptane,1,114.23199999999999,0,0,4,0,-5.16,0
"1,2-Dibromoethane",1,187.862,0,0,1,0,-1.68,1
Isoprocarb,1,193.24599999999998,1,1,2,38.33,-2.863,0
Niridazole,1,214.20600000000002,1,2,2,88.37,-3.22,0
Benzo(a)fluorene,2,216.283,0,4,0,0,-6.68,0
2-Chloroanisole,1,142.58499999999998,0,1,1,9.23,-2.46,1
Bromophos,1,366,0,1,4,27.69,-6.09,0
Quinonamid,1,332.57000000000005,1,2,3,63.24,-5.03,0
"P,P'-DDD",1,320.04600000000005,0,2,3,0,-7.2,0
Methyl acrylate,1,86.09,0,0,1,26.3,-0.22,1
Chloroxuron,1,290.75,1,2,3,41.57000000000001,-4.89,0
Azobenzene,2,182.226,0,2,2,24.72,-4.45,0
4-Isopropyltoluene,1,134.22199999999998,0,1,1,0,-3.77,0
"2,6-Dichlorophenol",1,163.003,1,1,0,20.23,-1.79,1
Sucrose,1,342.297,8,2,5,189.52999999999997,0.79,1
d-inositol,1,180.156,6,1,0,121.38000000000001,0.35,1
Dyphylline,1,254.24599999999995,2,2,3,102.28,-0.17,1
Chloramphenicol,1,323.13200000000006,3,1,6,112.70000000000002,-2.1109999999999998,1
3-Ethyl-3-pentanol,1,116.204,1,0,3,20.23,-0.85,1
Epitostanol,1,306.51500000000004,1,5,0,20.23,-5.41,0
"1,2-Dibromobenzene",1,235.90599999999998,0,1,0,0,-3.5,0
"2,4,6-Trichlorophenol",1,197.44799999999998,1,1,0,20.23,-2.34,1
oryzalin,1,346.3650000000001,1,1,8,149.67999999999998,-5.16,0
RTI 20,1,255.29199999999997,0,3,2,20.310000000000002,-4.7989999999999995,0
"2,4-Dimethyl-3-pentanone",1,114.18799999999997,0,0,2,17.07,-1.3,1
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,1,238.28699999999998,2,1,3,75.27000000000001,-2.593,1
gentisin,1,262.261,2,3,1,75.99000000000001,-2.943,0
Caffeine,1,194.19399999999996,0,2,0,61.82,-0.8759999999999999,1
Spironolactone,1,416.58300000000025,0,5,1,60.44,-4.173,0
"3,4-Dimethylphenol",1,122.16699999999999,1,1,0,20.23,-1.38,1
Diphenyl ether ,2,170.211,0,2,2,9.23,-3.96,0
"2,2',4,4',5,5'-PCB",1,360.88200000000006,0,2,1,0,-8.56,0
nicotinamide,1,122.12699999999997,1,1,1,55.980000000000004,0.61,1
Thiophenol ,1,110.18099999999997,1,1,0,0,-2.12,1
XMC,1,179.219,1,1,1,38.33,-2.5810000000000004,1
Chlordane,1,409.7819999999999,0,3,0,0,-6.86,0
Dimethyldisulfide,1,94.20400000000001,0,0,1,0,-1.44,1
Benzamide,1,121.13899999999995,1,1,1,43.09,-0.96,1
o-Chlorobromobenzene,1,191.45499999999998,0,1,0,0,-3.19,0
Monotropitoside,1,446.40500000000003,6,3,6,184.6,-0.742,1
3-Heptanol ,1,116.20399999999998,1,0,4,20.23,-1.47,1
RTI 15,1,268.32,1,3,1,58.120000000000005,-4.553999999999999,0
"3,5-Dichlorophenol",1,163.003,1,1,0,20.23,-1.34,1
1-Methylphenanthrene,1,192.261,0,3,0,0,-5.85,0
2-Ethyl-1-hexanol,1,130.231,1,0,5,20.23,-2.11,1
Diallate,1,270.225,0,0,4,20.310000000000002,-4.2860000000000005,0
Toluene ,1,92.14099999999999,0,1,0,0,-2.21,1
Nitrapyrin,1,230.909,0,1,0,12.89,-3.76,0
Cycloheptene,2,96.173,0,1,0,0,-3.18,0
Thiram,1,240.44400000000002,0,0,0,6.48,-3.9,0
Griseofulvin,1,352.7700000000001,0,3,3,71.06,-3.2460000000000004,0
1-Decanol,1,158.285,1,0,8,20.23,-3.63,0
"3,3-Dimethylpentane",1,100.20499999999998,0,0,2,0,-4.23,0
vamidothion,1,287.34299999999996,1,0,8,64.63000000000001,1.1440000000000001,1
"2,3,4,5-Tetrachlorophenol",1,231.893,1,1,0,20.23,-3.15,0
Butyraldehyde,1,72.107,0,0,2,17.07,-0.01,1
dexamethasone acetate,1,434.5040000000003,2,4,3,100.9,-4.9,0
Butane,1,58.123999999999995,0,0,1,0,-2.57,1
o-Methoxyphenol,1,124.13899999999997,1,1,1,29.46,-1.96,1
Fluoromethalone,1,376.46800000000013,2,4,1,74.6,-4.099,0
Pentachloroethane,1,202.29500000000002,0,0,0,0,-2.6,1
Diethyl phthalate ,1,222.23999999999995,0,1,4,52.60000000000001,-2.35,1
2-Methylpropan-1-ol,1,74.12299999999999,1,0,1,20.23,0.1,1
Isobutylbenzene,1,134.22199999999998,0,1,2,0,-4.12,0
Diiodomethane,1,267.835,0,0,0,0,-2.34,1
4-Heptanol,1,116.204,1,0,4,20.23,-1.4,1
Pentyl acetate,1,130.18699999999998,0,0,4,26.3,-1.89,1
"2,3,5,6-Tetrachlorophenol",1,231.893,1,1,0,20.23,-3.37,0
Propylbenzene ,1,120.19499999999995,0,1,2,0,-3.37,0
"1,2-Dichlorotetrafluoroethane",1,170.92000000000002,0,0,1,0,-2.74,1
2-butenal,1,70.09100000000001,0,0,1,17.07,0.32,1
tetramethylurea,1,116.16399999999999,0,0,0,23.550000000000004,0.94,1
"1,2,4,5-Tetramethylbenzene",1,134.22199999999998,0,1,0,0,-4.59,0
norethindrone acetate,1,340.4630000000001,0,4,1,43.370000000000005,-4.8,0
Ditalimfos,1,299.28800000000007,0,2,5,55.84,-3.35,0
salicylanilide,1,213.23600000000002,2,2,2,49.33,-3.59,0
Sulfallate,1,223.79399999999998,0,0,4,3.24,-3.39,0
Chloroethane,1,64.515,0,0,0,0,-1.06,1
Mefluidide,1,310.297,2,1,3,75.27000000000001,-3.24,0
Piperine,1,285.343,0,3,3,38.77,-3.46,0
cis-2-Pentene,1,70.135,0,0,1,0,-2.54,1
thiofanox,1,218.32199999999997,1,0,3,50.69,-1.62,1
Cyclooctyl-5-spirobarbituric acid,1,224.25999999999996,2,2,0,75.27,-2.9819999999999998,0
butacarb,1,263.381,1,1,1,38.33,-4.24,0
Eriodictyol,1,288.255,4,3,1,107.22000000000001,-3.62,0
Benzophenone,1,182.222,0,2,2,17.07,-3.12,0
Eicosane,1,282.5559999999999,0,0,17,0,-8.172,0
hydrazobenzene,2,184.242,2,2,3,24.06,-2.92,0
2-Ethyl-1-butanol,1,102.17699999999999,1,0,3,20.23,-1.17,1
4-hydroxypyridine,1,95.10099999999998,1,1,0,33.120000000000005,1.02,1
"cis 1,2-Dichloroethylene",1,96.94400000000002,0,0,0,0,-1.3,1
Methylcyclopentane,1,84.162,0,1,0,0,-3.3,0
4-Methyl-2-pentanol,1,102.17699999999998,1,0,2,20.23,-0.8,1
RTI 11,1,254.28900000000002,1,3,0,55.56,-3.928,0
"2,2-Dimethylpropanol",1,88.14999999999999,1,0,0,20.23,-0.4,1
Triadimefon,1,293.754,0,2,4,57.010000000000005,-3.61,0
Isocarboxazid,1,231.25500000000002,2,2,4,67.16,-2.461,1
Propylene,1,42.080999999999996,0,0,0,0,-1.08,1
Dichlorophen,1,269.127,2,2,2,40.46,-3.9530000000000003,0
Desmedipham,1,300.314,2,2,4,76.66,-4.632,0
Anthraquinone,1,208.21599999999998,0,3,0,34.14,-5.19,0
2-Octanol,1,130.231,1,0,5,20.23,-2.09,1
Oxycarboxin,1,267.306,1,2,2,72.47,-2.281,1
Butylbenzene,1,134.22199999999998,0,1,3,0,-4.06,0
parabanic acid,1,114.05999999999999,2,1,0,75.27,-0.4,1
Abate,1,466.47900000000016,0,2,10,55.38000000000001,-6.237,0
Chlorthalidone,1,338.7720000000001,3,3,2,109.49000000000001,-3.451,0
Isobutyl acetate,1,116.15999999999998,0,0,2,26.3,-1.21,1
"2,2,3-Trimethylbutane",1,100.20499999999998,0,0,0,0,-4.36,0
"2,3,3',4,4'6-PCB",1,395.3270000000001,0,2,1,0,-7.66,0
Phthalonitrile,1,128.13399999999996,0,1,0,47.58,-2.38,1
m-Nitrotoluene,1,137.138,0,1,1,43.14,-2.44,1
halothane,1,197.381,0,0,0,0,-1.71,1
Oxamyl,1,219.266,1,0,1,70.99999999999999,0.106,1
Thiometon,1,246.35899999999998,0,0,7,18.46,-3.091,0
2-Methylbutane,1,72.151,0,0,1,0,-3.18,0
Stirofos,1,365.96400000000006,0,1,5,44.760000000000005,-4.522,0
